order_id,order_date,category,product,quantity,unit_price,revenue,region,channel
80,2023-06-12,Home & Garden,Blender,2,106.0,212.0,APAC,Partner
81,2023-06-29,Sports,Bike Helmet,4,149.46,597.84,AMER,Store
82,2024-03-16,Books,The Pragmatic Programmer,2,42.63,85.26,AMER,Store
83,2024-02-06,Sports,Water Bottle,1,93.57,93.57,EMEA,Online
84,2023-03-14,Home & Garden,Candle,5,130.5,652.5,APAC,Store
85,2023-02-16,Sports,Yoga Mat,3,220.46,661.38,AMER,Partner
86,2024-03-14,Sports,Yoga Mat,1,288.08,288.08,AMER,Store
87,2024-06-01,Home & Garden,Candle,5,121.32,606.6,EMEA,Online
88,2023-12-04,Sports,Running Shoes,3,37.56,112.68,EMEA,Online
89,2023-09-12,Electronics,Tablet,3,880.02,2640.06,APAC,Store
90,2023-09-27,Sports,Water Bottle,3,241.78,725.34,EMEA,Store
91,2023-03-06,Electronics,Camera,4,223.61,894.44,APAC,Online
92,2024-02-28,Home & Garden,Candle,5,68.61,343.05,EMEA,Partner
93,2024-02-22,Sports,Dumbbells,5,270.53,1352.65,AMER,Online
94,2023-03-28,Sports,Dumbbells,2,101.19,202.38,APAC,Online
95,2023-07-29,Electronics,Camera,4,684.96,2739.84,EMEA,Partner
96,2024-03-02,Electronics,Tablet,2,1407.4,2814.8,AMER,Store
97,2024-01-28,Electronics,Headphones,1,1480.62,1480.62,APAC,Partner
98,2023-12-15,Home & Garden,Coffee Maker,5,129.07,645.35,EMEA,Online
99,2023-01-07,Home & Garden,Plant Pot,3,106.05,318.15,EMEA,Store
100,2023-09-08,Sports,Bike Helmet,5,95.65,478.25,EMEA,Store
101,2024-03-03,Electronics,Headphones,4,1381.74,5526.96,AMER,Online
102,2023-06-05,Clothing,Hat,4,177.65,710.6,APAC,Partner
103,2023-12-31,Electronics,Laptop,1,1498.7,1498.7,EMEA,Store
104,2023-01-16,Sports,Yoga Mat,5,270.14,1350.7,EMEA,Online
105,2023-04-19,Home & Garden,Coffee Maker,5,118.75,593.75,EMEA,Partner
106,2023-01-03,Clothing,Sneakers,1,21.69,21.69,EMEA,Online
107,2023-05-11,Books,Clean Code,5,50.07,250.35,EMEA,Partner
108,2024-05-22,Clothing,T-Shirt,5,163.18,815.9,EMEA,Partner
109,2023-01-22,Books,Clean Code,3,51.9,155.7,AMER,Online
110,2024-02-12,Electronics,Laptop,3,781.57,2344.71,AMER,Store
111,2024-02-06,Electronics,Camera,5,275.06,1375.3,EMEA,Online
112,2024-06-20,Electronics,Headphones,3,1079.36,3238.08,APAC,Store
113,2023-01-24,Home & Garden,Coffee Maker,1,96.28,96.28,EMEA,Partner
114,2023-02-20,Home & Garden,Candle,2,34.24,68.48,APAC,Online
115,2024-03-04,Clothing,Hat,3,99.83,299.49,EMEA,Store
116,2024-06-01,Books,SQL for Analytics,2,17.26,34.52,AMER,Online
117,2023-12-22,Home & Garden,Plant Pot,2,107.97,215.94,AMER,Partner
118,2023-08-10,Electronics,Laptop,4,787.11,3148.44,APAC,Store
119,2023-06-02,Electronics,Laptop,5,244.44,1222.2,EMEA,Online
120,2023-12-14,Sports,Running Shoes,3,187.19,561.57,APAC,Store
121,2023-11-18,Electronics,Tablet,5,365.56,1827.8,AMER,Online
122,2023-09-17,Books,Python Cookbook,3,30.92,92.76,EMEA,Online
123,2024-01-19,Electronics,Tablet,3,870.37,2611.11,AMER,Store
124,2024-03-06,Home & Garden,Candle,2,54.27,108.54,AMER,Store
125,2023-07-17,Electronics,Tablet,3,957.72,2873.16,APAC,Store
126,2024-05-18,Books,Clean Code,1,54.32,54.32,APAC,Store
127,2023-06-22,Sports,Running Shoes,2,241.96,483.92,AMER,Partner
128,2023-02-09,Clothing,Jacket,1,36.43,36.43,APAC,Partner
129,2023-07-02,Books,Python Cookbook,3,24.03,72.09,AMER,Online
130,2023-01-09,Sports,Dumbbells,5,225.38,1126.9,AMER,Partner
131,2023-03-26,Sports,Bike Helmet,4,117.96,471.84,EMEA,Store
132,2024-06-08,Sports,Yoga Mat,3,115.83,347.49,EMEA,Partner
133,2024-01-12,Home & Garden,Candle,4,53.53,214.12,EMEA,Partner
134,2023-01-06,Sports,Dumbbells,2,195.86,391.72,APAC,Online
135,2023-04-01,Sports,Running Shoes,4,57.49,229.96,AMER,Partner
136,2024-04-03,Books,The Pragmatic Programmer,2,37.8,75.6,APAC,Partner
137,2023-08-03,Sports,Yoga Mat,5,139.99,699.95,EMEA,Online
138,2023-09-14,Books,Clean Code,3,31.69,95.07,APAC,Online
139,2023-01-25,Clothing,T-Shirt,5,182.81,914.05,AMER,Online
140,2023-11-17,Electronics,Headphones,5,760.79,3803.95,APAC,Store
141,2024-04-06,Electronics,Laptop,5,403.32,2016.6,APAC,Store
142,2024-02-22,Home & Garden,Candle,4,103.83,415.32,AMER,Online
143,2023-07-05,Sports,Dumbbells,5,166.46,832.3,APAC,Partner
144,2024-04-11,Clothing,Jacket,4,157.2,628.8,AMER,Store
145,2024-04-10,Home & Garden,Cushion,1,92.2,92.2,AMER,Store
146,2023-02-27,Home & Garden,Plant Pot,3,84.4,253.2,EMEA,Store
147,2023-04-08,Books,The Pragmatic Programmer,2,41.54,83.08,EMEA,Store
148,2024-05-22,Clothing,T-Shirt,4,19.59,78.36,APAC,Store
149,2023-01-05,Home & Garden,Blender,3,93.79,281.37,AMER,Online
150,2024-06-21,Electronics,Smartwatch,4,968.97,3875.88,APAC,Store
151,2024-05-09,Books,SQL for Analytics,4,48.07,192.28,AMER,Partner
152,2024-04-19,Clothing,Hat,3,159.67,479.01,EMEA,Online
153,2023-10-30,Home & Garden,Candle,4,71.61,286.44,APAC,Store
154,2023-06-07,Home & Garden,Cushion,1,147.84,147.84,APAC,Partner
155,2023-03-09,Books,Clean Code,1,27.32,27.32,EMEA,Online
156,2024-06-23,Home & Garden,Candle,5,78.56,392.8,APAC,Store
157,2024-03-10,Clothing,Hat,1,91.14,91.14,AMER,Online
158,2024-05-20,Clothing,Jacket,2,163.38,326.76,AMER,Partner
159,2023-01-27,Clothing,T-Shirt,5,83.95,419.75,AMER,Online
160,2024-02-28,Books,Clean Code,4,45.66,182.64,EMEA,Partner
161,2023-01-27,Sports,Water Bottle,2,242.25,484.5,APAC,Online
162,2023-01-03,Electronics,Smartwatch,3,1294.28,3882.84,APAC,Store
163,2023-08-08,Clothing,Sneakers,4,20.48,81.92,APAC,Partner
164,2024-04-11,Sports,Water Bottle,3,78.92,236.76,AMER,Store
165,2023-11-19,Sports,Bike Helmet,4,96.69,386.76,AMER,Store
166,2023-04-13,Electronics,Headphones,5,1335.51,6677.55,APAC,Online
167,2024-03-17,Sports,Dumbbells,3,218.12,654.36,AMER,Partner
168,2023-03-16,Sports,Dumbbells,3,128.3,384.9,EMEA,Store
169,2023-11-22,Electronics,Camera,4,1066.28,4265.12,EMEA,Store
170,2023-03-15,Home & Garden,Cushion,2,79.57,159.14,EMEA,Store
171,2023-01-10,Electronics,Laptop,3,342.87,1028.61,EMEA,Store
172,2023-08-18,Books,Clean Code,3,27.16,81.48,APAC,Partner
173,2023-06-05,Books,Clean Code,5,37.04,185.2,AMER,Partner
174,2024-05-12,Clothing,Jeans,5,75.19,375.95,EMEA,Store
175,2023-12-24,Books,Clean Code,4,39.54,158.16,EMEA,Online
176,2023-03-27,Books,Data Engineering,1,26.12,26.12,AMER,Partner
177,2024-03-09,Electronics,Headphones,2,864.16,1728.32,AMER,Partner
178,2024-06-28,Sports,Running Shoes,5,148.11,740.55,AMER,Partner
179,2024-03-06,Clothing,Hat,2,181.97,363.94,AMER,Online
180,2023-12-24,Electronics,Tablet,3,197.75,593.25,EMEA,Partner
181,2023-01-20,Sports,Running Shoes,1,135.56,135.56,APAC,Partner
182,2023-05-15,Sports,Yoga Mat,1,21.91,21.91,AMER,Online
183,2023-06-20,Books,SQL for Analytics,4,35.8,143.2,EMEA,Online
184,2023-02-03,Books,Python Cookbook,4,29.23,116.92,APAC,Partner
185,2023-08-04,Home & Garden,Blender,3,52.29,156.87,EMEA,Store
186,2024-04-16,Electronics,Laptop,3,212.5,637.5,EMEA,Online
187,2023-07-02,Electronics,Tablet,1,759.78,759.78,AMER,Store
188,2023-05-23,Home & Garden,Candle,3,127.77,383.31,EMEA,Online
189,2024-01-09,Home & Garden,Blender,5,77.18,385.9,AMER,Online
190,2023-01-27,Sports,Dumbbells,3,279.81,839.43,AMER,Store
191,2023-01-26,Books,Clean Code,4,17.52,70.08,EMEA,Online
192,2023-04-14,Electronics,Camera,5,63.43,317.15,APAC,Online
193,2023-05-13,Electronics,Laptop,3,949.22,2847.66,EMEA,Store
194,2023-01-03,Clothing,Jacket,3,172.15,516.45,EMEA,Partner
195,2024-02-27,Home & Garden,Candle,5,32.78,163.9,APAC,Partner
196,2023-09-06,Clothing,Jeans,3,184.98,554.94,APAC,Store
197,2024-03-20,Books,The Pragmatic Programmer,4,28.08,112.32,EMEA,Online
198,2023-04-29,Home & Garden,Candle,2,94.1,188.2,AMER,Store
199,2023-01-17,Sports,Dumbbells,5,32.65,163.25,APAC,Store
200,2024-02-01,Clothing,T-Shirt,4,45.62,182.48,APAC,Partner
201,2024-05-01,Clothing,Sneakers,1,73.67,73.67,EMEA,Store
202,2024-01-15,Clothing,T-Shirt,4,41.59,166.36,EMEA,Online
203,2023-01-03,Sports,Running Shoes,2,297.61,595.22,APAC,Online
204,2023-03-11,Home & Garden,Cushion,2,91.85,183.7,AMER,Partner
205,2023-12-07,Electronics,Camera,1,827.49,827.49,EMEA,Online
206,2023-06-11,Sports,Yoga Mat,1,182.42,182.42,AMER,Store
207,2023-11-22,Books,The Pragmatic Programmer,1,10.91,10.91,EMEA,Online
208,2023-12-01,Books,The Pragmatic Programmer,4,22.68,90.72,EMEA,Store
209,2024-02-01,Home & Garden,Blender,3,104.87,314.61,APAC,Store
210,2023-08-18,Clothing,Sneakers,1,196.93,196.93,APAC,Store
211,2023-10-12,Books,Python Cookbook,2,49.8,99.6,AMER,Store
212,2023-08-05,Books,Python Cookbook,4,54.48,217.92,EMEA,Partner
213,2023-04-08,Home & Garden,Coffee Maker,2,144.62,289.24,APAC,Online
214,2023-04-27,Books,The Pragmatic Programmer,2,55.63,111.26,AMER,Store
215,2023-07-27,Books,Clean Code,4,53.92,215.68,AMER,Store
216,2024-03-04,Electronics,Smartwatch,3,1110.15,3330.45,APAC,Store
217,2024-04-18,Home & Garden,Coffee Maker,4,136.56,546.24,APAC,Partner
218,2024-02-11,Home & Garden,Coffee Maker,3,38.62,115.86,AMER,Online
219,2024-01-29,Clothing,Hat,5,84.77,423.85,APAC,Partner
220,2023-11-29,Sports,Dumbbells,2,102.55,205.1,AMER,Store
221,2024-05-26,Clothing,Jacket,3,126.33,378.99,AMER,Store
222,2023-08-04,Electronics,Laptop,2,596.95,1193.9,APAC,Online
223,2023-07-05,Clothing,T-Shirt,1,141.64,141.64,EMEA,Partner
224,2024-02-17,Sports,Dumbbells,3,38.69,116.07,AMER,Partner
225,2023-04-12,Clothing,Jeans,5,52.39,261.95,AMER,Store
226,2023-01-25,Electronics,Tablet,1,426.19,426.19,EMEA,Store
227,2023-09-29,Electronics,Camera,4,996.15,3984.6,APAC,Online
228,2024-02-23,Clothing,Jeans,2,69.53,139.06,EMEA,Partner
229,2024-06-21,Sports,Bike Helmet,4,295.52,1182.08,AMER,Partner
230,2023-06-16,Home & Garden,Coffee Maker,5,29.29,146.45,EMEA,Store
231,2023-12-04,Home & Garden,Coffee Maker,4,128.41,513.64,AMER,Store
232,2023-03-29,Home & Garden,Coffee Maker,3,45.46,136.38,EMEA,Partner
233,2023-06-11,Clothing,Jacket,4,151.0,604.0,APAC,Store
234,2024-02-27,Books,SQL for Analytics,1,48.0,48.0,EMEA,Online
235,2024-05-05,Sports,Bike Helmet,2,44.99,89.98,APAC,Online
236,2023-04-09,Clothing,Jeans,4,171.6,686.4,AMER,Store
237,2024-01-24,Electronics,Tablet,5,405.63,2028.15,EMEA,Partner
238,2023-10-18,Home & Garden,Cushion,3,57.51,172.53,APAC,Online
239,2024-05-29,Clothing,Jeans,1,44.83,44.83,EMEA,Partner
240,2023-09-26,Electronics,Smartwatch,2,800.61,1601.22,AMER,Store
241,2023-03-14,Clothing,Jacket,2,95.39,190.78,AMER,Online
242,2024-06-05,Electronics,Camera,5,748.94,3744.7,EMEA,Online
243,2023-05-19,Clothing,Jacket,1,53.43,53.43,APAC,Online
244,2023-06-25,Clothing,T-Shirt,1,184.62,184.62,APAC,Store
245,2023-10-18,Electronics,Tablet,3,630.65,1891.95,AMER,Online
246,2024-02-10,Books,The Pragmatic Programmer,5,50.92,254.6,AMER,Store
247,2023-07-06,Books,Python Cookbook,4,56.03,224.12,AMER,Online
248,2023-12-07,Books,Data Engineering,4,49.72,198.88,EMEA,Partner
249,2024-05-20,Sports,Water Bottle,2,71.47,142.94,AMER,Store
250,2024-06-27,Clothing,Sneakers,3,15.43,46.29,EMEA,Online
251,2023-03-12,Books,Python Cookbook,4,32.91,131.64,AMER,Online
252,2024-05-19,Sports,Water Bottle,1,123.95,123.95,AMER,Online
253,2023-12-27,Home & Garden,Candle,2,74.55,149.1,AMER,Store
254,2023-07-07,Electronics,Tablet,3,1427.59,4282.77,AMER,Online
255,2023-01-23,Electronics,Smartwatch,3,1276.71,3830.13,APAC,Store
256,2024-06-26,Clothing,Hat,2,153.68,307.36,AMER,Store
257,2024-06-02,Sports,Water Bottle,2,97.72,195.44,APAC,Store
258,2023-11-04,Sports,Water Bottle,5,126.91,634.55,EMEA,Partner
259,2023-08-18,Home & Garden,Plant Pot,2,136.99,273.98,EMEA,Store
260,2023-08-29,Home & Garden,Blender,3,67.14,201.42,EMEA,Online
261,2023-12-25,Books,Python Cookbook,1,43.37,43.37,APAC,Store
262,2023-04-19,Clothing,T-Shirt,5,75.41,377.05,EMEA,Partner
263,2024-01-01,Books,The Pragmatic Programmer,5,22.33,111.65,EMEA,Online
264,2023-06-05,Books,Data Engineering,2,16.93,33.86,EMEA,Partner
265,2023-10-24,Books,The Pragmatic Programmer,5,20.13,100.65,AMER,Partner
266,2023-05-20,Sports,Bike Helmet,4,186.92,747.68,EMEA,Store
267,2023-08-07,Electronics,Headphones,3,1465.39,4396.17,AMER,Partner
268,2024-04-23,Home & Garden,Coffee Maker,4,66.01,264.04,APAC,Store
269,2024-04-12,Clothing,Jacket,5,188.15,940.75,EMEA,Online
270,2023-12-12,Books,SQL for Analytics,3,34.49,103.47,APAC,Store
271,2024-05-20,Books,Data Engineering,5,55.63,278.15,EMEA,Partner
272,2024-02-23,Books,The Pragmatic Programmer,5,47.25,236.25,EMEA,Partner
273,2023-05-12,Electronics,Tablet,4,711.86,2847.44,AMER,Store
274,2023-11-17,Sports,Dumbbells,3,84.76,254.28,AMER,Store
275,2024-04-15,Clothing,Jeans,2,165.97,331.94,AMER,Online
276,2024-03-12,Clothing,T-Shirt,3,77.18,231.54,EMEA,Partner
277,2023-03-05,Clothing,T-Shirt,4,158.25,633.0,EMEA,Store
278,2023-03-26,Home & Garden,Cushion,5,36.96,184.8,EMEA,Store
279,2024-06-20,Home & Garden,Candle,2,140.61,281.22,AMER,Online
280,2023-05-29,Books,Python Cookbook,2,49.54,99.08,AMER,Partner
281,2024-03-31,Clothing,Sneakers,4,35.69,142.76,AMER,Online
282,2023-10-01,Electronics,Tablet,2,850.67,1701.34,EMEA,Partner
283,2024-06-30,Sports,Water Bottle,1,297.69,297.69,EMEA,Store
284,2024-06-18,Electronics,Laptop,1,1105.37,1105.37,EMEA,Online
285,2023-01-29,Clothing,Jacket,2,93.58,187.16,AMER,Partner
286,2024-03-31,Sports,Dumbbells,4,238.36,953.44,APAC,Partner
287,2024-02-14,Books,SQL for Analytics,2,26.08,52.16,APAC,Partner
288,2023-03-20,Electronics,Tablet,2,1344.89,2689.78,AMER,Partner
289,2023-10-20,Books,Python Cookbook,2,17.68,35.36,EMEA,Online
290,2023-08-27,Home & Garden,Coffee Maker,1,10.07,10.07,APAC,Partner
291,2024-03-26,Electronics,Laptop,4,995.77,3983.08,AMER,Online
292,2024-03-26,Electronics,Laptop,2,1298.16,2596.32,AMER,Store
293,2023-08-04,Home & Garden,Cushion,3,22.99,68.97,AMER,Partner
294,2023-10-03,Home & Garden,Blender,2,115.33,230.66,AMER,Partner
295,2023-04-30,Sports,Running Shoes,3,116.69,350.07,AMER,Online
296,2023-02-17,Sports,Water Bottle,4,44.48,177.92,AMER,Online
297,2023-08-06,Electronics,Laptop,1,1243.51,1243.51,APAC,Partner
298,2023-09-03,Books,Python Cookbook,1,42.68,42.68,APAC,Store
299,2024-04-22,Electronics,Camera,5,1464.61,7323.05,AMER,Online
300,2023-06-08,Sports,Dumbbells,5,200.26,1001.3,EMEA,Partner
301,2024-03-29,Electronics,Tablet,2,848.82,1697.64,AMER,Partner
302,2023-11-26,Home & Garden,Coffee Maker,5,16.92,84.6,AMER,Store
303,2024-02-19,Sports,Dumbbells,2,131.41,262.82,EMEA,Partner
304,2023-05-29,Clothing,Jacket,4,86.29,345.16,EMEA,Store
305,2024-01-06,Electronics,Headphones,4,867.94,3471.76,APAC,Online
306,2024-05-04,Clothing,T-Shirt,3,54.27,162.81,APAC,Store
307,2023-09-15,Sports,Yoga Mat,1,268.18,268.18,APAC,Store
308,2023-04-28,Books,The Pragmatic Programmer,2,12.97,25.94,AMER,Store
309,2023-04-28,Home & Garden,Coffee Maker,1,105.13,105.13,APAC,Online
310,2023-04-07,Home & Garden,Blender,3,69.18,207.54,EMEA,Online
311,2023-07-17,Sports,Bike Helmet,2,102.92,205.84,EMEA,Online
312,2023-11-30,Home & Garden,Blender,5,47.07,235.35,AMER,Online
313,2023-02-24,Books,The Pragmatic Programmer,4,56.48,225.92,APAC,Online
314,2023-03-08,Electronics,Laptop,3,948.38,2845.14,EMEA,Partner
315,2023-10-15,Books,Clean Code,4,50.99,203.96,EMEA,Partner
316,2023-06-27,Home & Garden,Coffee Maker,1,66.18,66.18,AMER,Partner
317,2023-04-04,Electronics,Tablet,5,1218.98,6094.9,APAC,Partner
318,2024-06-15,Clothing,Jacket,2,106.33,212.66,APAC,Store
319,2023-03-12,Books,Data Engineering,3,39.24,117.72,AMER,Online
320,2024-04-18,Clothing,T-Shirt,4,34.11,136.44,EMEA,Store
321,2023-08-25,Home & Garden,Blender,3,67.21,201.63,APAC,Store
322,2023-08-03,Clothing,Hat,4,187.56,750.24,APAC,Online
323,2023-09-10,Clothing,Jacket,2,120.07,240.14,EMEA,Store
324,2023-07-09,Clothing,Jacket,5,74.33,371.65,EMEA,Store
325,2024-01-31,Home & Garden,Coffee Maker,3,33.25,99.75,APAC,Store
326,2024-02-18,Books,Data Engineering,4,38.13,152.52,AMER,Online
327,2023-11-23,Home & Garden,Cushion,1,139.85,139.85,EMEA,Partner
328,2023-08-03,Books,Python Cookbook,5,57.28,286.4,EMEA,Partner
329,2023-01-22,Books,SQL for Analytics,4,10.23,40.92,APAC,Partner
330,2024-02-11,Books,SQL for Analytics,2,11.33,22.66,EMEA,Partner
331,2023-01-03,Clothing,Jacket,3,101.17,303.51,AMER,Partner
332,2023-07-24,Books,Data Engineering,5,53.94,269.7,APAC,Store
333,2024-02-28,Electronics,Headphones,3,282.85,848.55,EMEA,Store
334,2024-06-11,Clothing,Jacket,1,193.6,193.6,APAC,Partner
335,2024-04-25,Books,Python Cookbook,5,39.71,198.55,AMER,Store
336,2023-09-21,Electronics,Laptop,3,1225.9,3677.7,EMEA,Store
337,2023-08-21,Sports,Bike Helmet,5,186.09,930.45,APAC,Store
338,2024-03-10,Electronics,Tablet,5,221.68,1108.4,EMEA,Partner
339,2024-04-23,Electronics,Headphones,4,490.51,1962.04,EMEA,Online
340,2024-01-13,Books,SQL for Analytics,3,33.18,99.54,AMER,Online
341,2023-12-05,Sports,Water Bottle,4,119.25,477.0,EMEA,Online
342,2023-04-28,Home & Garden,Plant Pot,5,83.12,415.6,AMER,Online
343,2023-02-22,Home & Garden,Coffee Maker,1,58.18,58.18,AMER,Partner
344,2024-06-17,Electronics,Tablet,3,1223.01,3669.03,EMEA,Online
345,2023-12-13,Home & Garden,Candle,5,132.0,660.0,AMER,Store
346,2023-10-20,Electronics,Tablet,2,102.05,204.1,AMER,Partner
347,2024-01-22,Home & Garden,Cushion,2,15.66,31.32,AMER,Online
348,2024-05-26,Home & Garden,Cushion,2,16.32,32.64,APAC,Partner
349,2024-04-01,Books,Python Cookbook,1,12.99,12.99,APAC,Online
350,2023-11-07,Sports,Running Shoes,5,275.57,1377.85,APAC,Store
351,2024-06-13,Sports,Running Shoes,1,28.3,28.3,EMEA,Online
352,2024-06-11,Sports,Yoga Mat,1,92.95,92.95,EMEA,Online
353,2024-03-30,Sports,Bike Helmet,3,215.27,645.81,EMEA,Partner
354,2023-03-11,Sports,Bike Helmet,4,283.58,1134.32,APAC,Partner
355,2024-05-06,Clothing,Jacket,5,115.55,577.75,EMEA,Partner
356,2023-09-07,Home & Garden,Candle,3,77.61,232.83,APAC,Store
357,2023-02-19,Clothing,Jeans,1,87.43,87.43,APAC,Online
358,2024-05-24,Home & Garden,Candle,1,72.45,72.45,APAC,Store
359,2023-04-23,Electronics,Laptop,5,278.41,1392.05,EMEA,Partner
360,2024-05-27,Books,Data Engineering,4,35.79,143.16,APAC,Partner
361,2023-03-26,Electronics,Headphones,2,121.22,242.44,APAC,Online
362,2024-05-14,Electronics,Laptop,2,874.43,1748.86,EMEA,Store
363,2024-03-13,Sports,Water Bottle,3,68.54,205.62,APAC,Store
364,2023-07-10,Sports,Bike Helmet,1,285.16,285.16,EMEA,Online
